"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.82964073503173,0.679,0.135,0,"0","IL7R"
0,3.13314490080126,0.54,0.077,0,"0","TCF7"
0,2.38046976845164,0.585,0.134,0,"0","LTB"
0,1.46969287656918,0.876,0.51,0,"0","RPS12"
0,1.3942448769976,0.685,0.322,0,"0","ETS1"
0,1.38255999598673,0.793,0.432,0,"0","RPLP2"
0,1.42816581775874,0.88,0.527,0,"0","RPL13"
0,1.40637115214024,0.677,0.326,0,"0","RPL32"
0,2.106818392654,0.48,0.13,0,"0","LDHB"
0,1.47354239253517,0.619,0.273,0,"0","GLTSCR2"
0,1.32003751569312,0.739,0.394,0,"0","RPS5"
0,1.43462862504172,0.635,0.298,0,"0","RPS3A"
0,1.25845200308709,0.877,0.543,0,"0","RPL13A"
0,1.29821344405133,0.766,0.434,0,"0","RPL34"
0,1.21585117852708,0.782,0.45,0,"0","RPS8"
0,1.53382702445401,0.565,0.235,0,"0","TRBC2"
0,1.26522958382308,0.721,0.392,0,"0","RPS20"
0,1.23937170232826,0.798,0.473,0,"0","RPS4X"
0,1.24678376054479,0.813,0.488,0,"0","RPS18"
0,1.27253368260294,0.85,0.526,0,"0","RPL31"
0,1.24320095121922,0.87,0.547,0,"0","RPS3"
0,1.21752157870912,0.831,0.51,0,"0","RPL11"
0,1.218125351158,0.71,0.389,0,"0","RPL14"
0,1.20497613635462,0.686,0.369,0,"0","RPS21"
0,1.255179504543,0.815,0.499,0,"0","RPL4"
0,1.35166328304689,0.603,0.288,0,"0","RPL9"
0,2.57317592894197,0.385,0.07,0,"0","DGKA"
0,1.22952659294861,0.816,0.501,0,"0","RPL18"
0,1.2840303257528,0.636,0.324,0,"0","RPL10A"
0,1.30124841572496,0.913,0.606,0,"0","RPL3"
0,1.14554917707474,0.778,0.472,0,"0","RPS16"
0,1.23245041718049,0.661,0.356,0,"0","RPL5"
0,1.15045611170449,0.801,0.497,0,"0","RPS2"
0,1.17519363083162,0.684,0.383,0,"0","RPS13"
0,1.19301470495178,0.652,0.351,0,"0","RPS27A"
0,1.21643093497416,0.615,0.314,0,"0","RPS23"
0,1.17961825177535,0.662,0.362,0,"0","RPL35A"
0,1.18758637590665,0.864,0.565,0,"0","RPL19"
0,1.2833029613341,0.894,0.601,0,"0","RPS14"
0,1.35410428146136,0.529,0.236,0,"0","RPSAP58"
0,1.48587408242111,0.497,0.205,0,"0","TMEM66"
0,1.13842288580697,0.611,0.325,0,"0","RPL18A"
0,2.29644633219583,0.368,0.084,0,"0","PIK3IP1"
0,1.01742629733727,0.77,0.487,0,"0","RPL27A"
0,3.35022122677244,0.316,0.034,0,"0","LEF1"
0,1.13058912996812,0.594,0.312,0,"0","RPS29"
0,1.19483863678504,0.596,0.314,0,"0","RPL7"
0,1.38183056116241,0.946,0.665,0,"0","RPS6"
0,1.07190094043488,0.643,0.364,0,"0","RPLP0"
0,1.52104716321762,0.433,0.155,0,"0","SPOCK2"
0,1.26964012138566,0.918,0.644,0,"0","TPT1"
0,1.94290499747606,0.378,0.104,0,"0","TRAC"
0,1.03352329446349,0.858,0.585,0,"0","PABPC1"
0,2.15221847936484,0.357,0.088,0,"0","ABLIM1"
0,0.969869967592582,0.763,0.497,0,"0","RPL8"
0,1.20780963392857,0.542,0.277,0,"0","RPL10"
0,0.915964861764857,0.76,0.495,0,"0","RPS19"
0,1.10772616042435,0.555,0.291,0,"0","RPS27"
0,1.09895205733858,0.552,0.291,0,"0","RPL12"
0,1.04129382406121,0.604,0.344,0,"0","RPL23"
0,1.32919584579375,0.47,0.211,0,"0","RPL22"
0,3.19642251956366,0.291,0.034,0,"0","CCR7"
