"cluster","gene","avg_log2FC","pct.1","pct.2"
"0","TCF7",3.13314490080126,0.54,0.077
"0","LEF1",3.35022122677244,0.316,0.034
"0","CCR7",3.19642251956366,0.291,0.034
"1","CCL5",2.27048628588486,0.701,0.167
"1","GZMH",2.303586941953,0.461,0.104
"1","CD8A",2.70338318192551,0.414,0.084
"2","GNLY",3.52867020337508,0.875,0.148
"2","PRF1",3.36560412432256,0.802,0.132
"2","SPON2",3.84713027848413,0.458,0.041
"3","CD14",2.8210201999025,0.484,0.069
"3","CD300E",2.76520971101534,0.277,0.04
"3","CPVL",3.01329816104592,0.252,0.033
"4","RNA28S5",0.857735427567755,0.999,1
"4","RNA18S5",0.661697361802336,1,1
"4","AC009501.4",1.34674374641186,0.49,0.376
"5","MS4A1",5.92760512276212,0.781,0.022
"5","BANK1",5.60461216170431,0.523,0.013
"5","PAX5",5.65563366446185,0.375,0.009
"6","S100A12",4.33367719971173,0.728,0.067
"6","CYP1B1",4.21855752120376,0.394,0.025
"6","C19orf59",4.07975427292935,0.281,0.017
"7","HBB",7.59948139099497,0.986,0.047
"7","HBA2",7.29286738875238,0.483,0.013
"7","AC009501.4",1.00354196075177,0.517,0.384
"8","MS4A7",5.41436670267569,0.517,0.017
"8","CDKN1C",7.15385318856727,0.398,0.004
"8","RP11-290F20.3",5.02364750611881,0.301,0.01
"9","IGHG2",5.37631216410979,0.856,0.08
"9","IGHG4",5.21307760305041,0.801,0.077
"9","IGHG3",5.20661413071334,0.762,0.063
"10","IGLC3",4.98554880645948,0.996,0.174
"10","IGLC2",4.94951266207799,0.833,0.088
"10","IGHA1",5.13849396366831,0.662,0.07
"11","IGHM",5.03144575722482,0.867,0.17
"11","IGJ",3.25822597550796,0.579,0.11
"11","MZB1",2.84873242565182,0.265,0.045
"12","TUBB1",7.57782598249946,0.655,0.012
"12","PPBP",7.25233530637087,0.644,0.014
"12","ITGB3",7.40564242271598,0.598,0.011
"13","MKI67",5.9317417514234,0.84,0.029
"13","CENPF",5.23272348441516,0.323,0.013
"13","TOP2A",5.69564225581329,0.313,0.009
"14","IGHG2",5.15081928411507,0.898,0.089
"14","IGHG4",5.22232767508065,0.877,0.085
"14","IGHG3",5.24026919652772,0.84,0.07
"15","IGHA1",6.03463997703469,0.958,0.072
"15","IGHA2",6.35658681190911,0.767,0.03
"15","IGKC",4.48925693308479,0.281,0.016
"16","G0S2",6.49748259830606,0.48,0.01
"16","TNFRSF10C",7.01219815812162,0.321,0.003
"16","MME",7.457920547596,0.315,0.003
"17","HLA-DRA",3.65353391207203,0.884,0.183
"17","HLA-DQA1",3.97402513478265,0.462,0.045
"17","HLA-DQB1",3.68905050566827,0.375,0.041
"18","IGHM",5.1551320797885,1,0.175
"18","IGLC3",4.21164346741484,0.99,0.183
"18","IGLC2",4.08526166579533,0.813,0.096
"19","SERPINF1",7.07577095693004,0.458,0.005
"19","LILRA4",7.55811107955295,0.395,0.003
"19","PTPRS",7.12814223400949,0.373,0.003
"20","GATA2",7.53305088110752,0.322,0.005
"20","CLC",8.19716959198114,0.278,0.003
"20","AKAP12",7.22286675381519,0.26,0.004
"21","HSP90B1",2.72827436280046,0.878,0.335
"21","HSPA5",2.46738625387748,0.685,0.309
"21","PDIA4",2.35547150969719,0.315,0.096
"22","MYB",6.34045539209503,0.544,0.008
"22","LAPTM4B",6.3669733517412,0.374,0.005
"22","MSRB3",6.43355746331562,0.293,0.003
